name,description,price,category,subcategory,brand,average_rating,review_sentiment,seasonal_availability,geographical_availability,similar_products,recommendation_frequency,image_url
Laptop Pro X,High-performance laptop with 16GB RAM and 512GB SSD,1299.99,Electronics,Laptops,TechPro,4.5,0.8,all_year,worldwide,"[2,3]",0.9,https://via.placeholder.com/300
Smart Watch Elite,Advanced smartwatch with health monitoring features,299.99,Electronics,Wearables,TechPro,4.3,0.7,all_year,worldwide,"[1,3]",0.8,https://via.placeholder.com/300
Premium Headphones,Noise-cancelling wireless headphones,199.99,Electronics,Audio,SoundMax,4.7,0.9,all_year,worldwide,"[1,2]",0.85,https://via.placeholder.com/300
Designer Handbag,Luxury leather handbag with gold accents,599.99,Fashion,Bags,LuxStyle,4.8,0.9,all_year,worldwide,"[5,6]",0.7,https://via.placeholder.com/300
Running Shoes,Lightweight running shoes with cushioning,129.99,Fashion,Footwear,SportFit,4.6,0.85,all_year,worldwide,"[4,6]",0.75,https://via.placeholder.com/300
Smart TV 4K,55-inch 4K UHD Smart TV with HDR,799.99,Electronics,TVs,TechPro,4.4,0.75,all_year,worldwide,"[1,3]",0.8,https://via.placeholder.com/300
Wireless Earbuds,True wireless earbuds with charging case,149.99,Electronics,Audio,SoundMax,4.5,0.8,all_year,worldwide,"[3,6]",0.85,https://via.placeholder.com/300
Gaming Mouse,RGB gaming mouse with programmable buttons,79.99,Electronics,Gaming,GamerPro,4.7,0.9,all_year,worldwide,"[1,6]",0.8,https://via.placeholder.com/300
Coffee Maker,Programmable coffee maker with thermal carafe,89.99,Home,Kitchen,HomePro,4.6,0.85,all_year,worldwide,"[10,11]",0.7,https://via.placeholder.com/300
Blender,High-speed blender with multiple settings,129.99,Home,Kitchen,HomePro,4.5,0.8,all_year,worldwide,"[9,11]",0.75,https://via.placeholder.com/300
Vacuum Cleaner,Robot vacuum cleaner with smart mapping,299.99,Home,Cleaning,HomePro,4.4,0.75,all_year,worldwide,"[9,10]",0.7,https://via.placeholder.com/300 \
